Dates,Actual,Predictions,Upper_bound,Lower_bound
2019-08-21,112.221,,,
2019-08-22,112.221,,,
2019-08-23,112.221,,,
2019-08-26,112.221,,,
2019-08-27,112.221,,,
2019-08-31,118.292,,,
2019-09-03,118.37,,,
2019-09-04,21.833,,,
2019-09-05,21.95,,,
2019-09-09,37.399,,,
2019-09-10,37.532,,,
2019-09-12,37.792,,,
2019-09-13,37.922,,,
2019-09-16,59.106,,,
2019-09-17,59.237,,,
2019-09-18,186.488,,,
2019-09-19,186.675,,,
2019-09-20,186.814,186.814,,
2019-09-23,187.257,191.00598806581488,226.47406137360147,155.53791475802828
2019-09-24,187.373,195.1543614312207,266.0925616198932,124.21616124254825
2019-09-25,187.688,199.30320413975338,305.71153144711224,92.89487683239456
2019-09-26,187.828,203.45204179762723,345.3304962237,61.573587371554524
2019-09-30,191.73,207.60087950985184,384.9494610546385,30.252297965065242
2019-10-01,191.949,211.74971722149158,424.56842588499217,-1.0689914420089153
2019-10-03,192.604,215.8985549331376,464.18739071535214,-32.390280849076774
2019-10-04,192.785,220.04739264478357,503.806355545712,-63.7115702561447
2019-10-08,193.289,224.19623035642954,543.4253203760718,-95.03285966321262
2019-10-09,193.418,228.3450680680755,583.0442852064316,-126.35414907028054
2019-10-10,193.537,232.49390577972147,622.6632500367914,-157.67543847734848
2019-10-11,200.246,236.64274349136744,662.2822148671512,-188.9967278844164
2019-10-14,201.205,240.7915812030134,701.901179697511,-220.31801729148432
2019-10-15,201.413,244.94041891465938,741.5201445278708,-251.63930669855225
2019-10-16,201.499,249.08925662630534,781.1391093582306,-282.96059610562014
2019-10-17,201.836,253.2380943379513,820.7580741885904,-314.28188551268806
2019-10-18,201.841,257.3869320495973,860.3770390189502,-345.603174919756
2019-10-21,163.535,261.5357697612433,899.99600384931,-376.9244643268239
2019-10-22,167.518,265.68460747288924,939.6149686796698,-408.24575373389183
2019-10-23,167.546,269.8334451845352,979.2339335100296,-439.56704314095975
2019-10-24,167.55,273.9822828961812,1018.8528983403894,-470.8883325480277
2019-10-25,160.01,278.13112060782714,1058.4718631707492,-502.20962195509554
2019-10-28,160.36,282.2799583194731,1098.090828001109,-533.5309113621635
2019-10-29,160.73,286.4287960311191,1137.7097928314688,-564.8522007692314
2019-10-30,160.982,290.57763374276504,1177.3287576618286,-596.1734901762994
2019-10-31,162.071,294.726471454411,1216.9477224921884,-627.4947795833674
2019-11-01,163.2,298.875309166057,1256.5666873225482,-658.8160689904354
2019-11-04,172.381,303.02414687770295,1296.185652152908,-690.1373583975034
2019-11-05,173.051,307.1729845893489,1335.8046169832678,-721.4586478045713
2019-11-07,173.063,311.3218223009949,1375.4235818136276,-752.7799372116393
2019-11-08,177.069,315.47066001264085,1415.0425466439874,-784.1012266187073
2019-11-11,191.668,319.6194977242868,1454.6615114743472,-815.4225160257753
2019-11-12,191.69,323.7683354359328,1494.280476304707,-846.7438054328433
2019-11-13,198.216,327.91717314757875,1533.8994411350668,-878.0650948399112
2019-11-14,198.538,332.0660108592247,1573.5184059654266,-909.3863842469792
2019-11-18,219.516,336.2148485708707,1613.1373707957864,-940.7076736540472
2019-11-19,230.442,340.36368628251665,1652.7563356261462,-972.0289630611152
2019-11-20,241.812,344.5125239941626,1692.375300456506,-1003.3502524681832
2019-11-21,252.902,348.6613617058086,1731.9942652868658,-1034.671541875251
2019-11-22,128.321,352.81019941745456,1771.6132301172256,-1065.992831282319
2019-11-25,135.201,356.9590371291005,1811.2321949475854,-1097.314120689387
2019-11-26,135.275,361.1078748407465,1850.8511597779452,-1128.635410096455
2019-12-02,38.389,365.25671255239246,1890.470124608305,-1159.956699503523
2019-12-03,38.452,369.4055502640384,1930.0890894386648,-1191.277988910591
2019-12-04,38.528,373.5543879756844,1969.7080542690246,-1222.599278317659
2019-12-05,38.598,377.70322568733036,2009.3270190993844,-1253.9205677247269
2019-12-06,38.674,381.8520633989763,2048.945983929744,-1285.2418571317949
2019-12-09,38.905,386.0009011106223,2088.5649487601045,-1316.5631465388628
2019-12-10,43.181,390.14973882226826,2128.1839135904647,-1347.8844359459308
2019-12-11,43.202,394.29857653391423,2167.802878420825,-1379.2057253529988
2019-12-12,43.202,398.4474142455602,2207.4218432511852,-1410.5270147600668
2019-12-16,43.332,402.59625195720616,2247.0408080815455,-1441.8483041671348
2019-12-17,43.427,406.74508966885213,2286.6597729119057,-1473.1695935742027
2019-12-30,43.893,410.8939273804981,2326.278737742266,-1504.4908829812707
2019-12-31,43.899,415.04276509214407,2365.8977025726263,-1535.8121723883387
2020-01-02,43.899,419.19160280379003,2405.5166674029865,-1567.1334617954067
2020-01-03,47.516,423.340440515436,2445.1356322333468,-1598.4547512024747
2020-01-07,47.961,427.48927822708197,2484.754597063707,-1629.7760406095426
2020-01-08,48.031,431.63811593872794,2524.3735618940673,-1661.0973300166106
2020-01-13,48.296,435.7869536503739,2563.9925267244275,-1692.4186194236786
2020-01-22,48.463,439.93579136201987,2603.611491554788,-1723.7399088307466
2020-01-23,48.465,444.08462907366584,2643.230456385148,-1755.0611982378146
2020-01-27,1143.266,448.2334667853118,2682.8494212155083,-1786.3824876448825
2020-01-31,1143.828,452.3823044969578,2722.4683860458686,-1817.7037770519505
